model,format_type,prompt_id,prompt_tokens,completion_tokens,total_tokens,system_prompt_tokens,user_message_tokens,tool_call_tokens,overhead_tokens,efficiency_ratio,format_overhead_ratio,success,error_message
cerebras/zai-glm-4.7,json,simple_weather_1,1397,118,1515,1386,7,3,22,0.025423728813559324,7.333333333333333,True,
cohere/command-a-03-2025,function_sig,complex_nested,794,30,824,660,31,4,20,0.13333333333333333,5.0,True,
cerebras/zai-glm-4.7,json,simple_weather_2,1403,139,1542,1386,13,5,21,0.03597122302158273,4.2,True,
cerebras/zai-glm-4.7,json,simple_time_1,1397,138,1535,1386,7,6,21,0.043478260869565216,3.5,True,
cerebras/zai-glm-4.7,json,simple_time_2,1397,88,1485,1386,7,2,13,0.022727272727272728,6.5,True,
cerebras/zai-glm-4.7,json,simple_calc_1,1396,60,1456,1386,6,6,20,0.1,3.3333333333333335,True,
cerebras/zai-glm-4.7,json,simple_search_1,1398,107,1505,1386,8,4,28,0.037383177570093455,7.0,True,
cerebras/zai-glm-4.7,json,simple_translate_1,1400,94,1494,1386,10,8,27,0.0851063829787234,3.375,True,
cerebras/zai-glm-4.7,json,simple_empty_tool,1394,49,1443,1386,4,2,13,0.04081632653061224,6.5,True,
cerebras/zai-glm-4.7,json,multi_weather_cities,1408,145,1553,1386,18,7,42,0.04827586206896552,6.0,True,
cerebras/zai-glm-4.7,json,multi_search_chart,1403,352,1755,1386,13,6,33,0.017045454545454544,5.5,True,
cerebras/zai-glm-4.7,json,multi_task_email,1418,344,1762,1386,28,66,68,0.19186046511627908,1.0303030303030303,True,
cerebras/zai-glm-4.7,json,multi_time_zones,1403,234,1637,1386,13,17,63,0.07264957264957266,3.7058823529411766,True,
cerebras/zai-glm-4.7,json,multi_translate_compare,1399,155,1554,1386,9,8,56,0.05161290322580645,7.0,True,
cerebras/zai-glm-4.7,json,ambig_files,1395,270,1665,1386,5,0,0,0.0,,False,
cerebras/zai-glm-4.7,json,ambig_process,1393,263,1656,1386,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,json,ambig_send,1393,211,1604,1386,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,json,ambig_weather,1396,88,1484,1386,6,0,0,0.0,,False,
cerebras/zai-glm-4.7,json,ambig_translate,1392,111,1503,1386,2,0,0,0.0,,False,
cerebras/zai-glm-4.7,json,ambig_calculate,1393,174,1567,1386,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,json,ambig_partial_email,1397,167,1564,1386,7,0,0,0.0,,False,
cerebras/zai-glm-4.7,json,ambig_search,1392,219,1611,1386,2,0,0,0.0,,False,
cerebras/zai-glm-4.7,json,complex_chart_filter,1424,300,1724,1386,34,14,27,0.04666666666666667,1.9285714285714286,True,
cerebras/zai-glm-4.7,json,complex_batch,1420,359,1779,1386,30,0,0,0.0,,False,
cerebras/zai-glm-4.7,json,complex_report,1429,1121,2550,1386,39,222,338,0.19803746654772525,1.5225225225225225,True,
cerebras/zai-glm-4.7,json,complex_pipeline,1437,674,2111,1386,47,28,177,0.04154302670623145,6.321428571428571,True,
cerebras/zai-glm-4.7,json,complex_query_report,1424,261,1685,1386,34,14,47,0.05363984674329502,3.357142857142857,True,
cerebras/zai-glm-4.7,json,complex_weird_params,1416,111,1527,1386,26,7,34,0.06306306306306306,4.857142857142857,True,
cerebras/zai-glm-4.7,json,complex_unicode,1411,179,1590,1386,23,5,31,0.027932960893854747,6.2,True,
cerebras/zai-glm-4.7,json,complex_mixed_types,1435,309,1744,1386,45,14,65,0.045307443365695796,4.642857142857143,True,
cerebras/zai-glm-4.7,json,complex_nested,1421,226,1647,1386,31,4,52,0.017699115044247787,13.0,True,
cerebras/zai-glm-4.7,mcp,simple_weather_1,1484,151,1635,1473,7,3,48,0.019867549668874173,16.0,True,
cerebras/zai-glm-4.7,mcp,simple_weather_2,1490,155,1645,1473,13,5,47,0.03225806451612903,9.4,True,
cerebras/zai-glm-4.7,mcp,simple_time_1,1484,164,1648,1473,7,6,47,0.036585365853658534,7.833333333333333,True,
cerebras/zai-glm-4.7,mcp,simple_time_2,1484,202,1686,1473,7,3,47,0.01485148514851485,15.666666666666666,True,
cerebras/zai-glm-4.7,mcp,simple_calc_1,1483,129,1612,1473,6,6,46,0.046511627906976744,7.666666666666667,True,
cerebras/zai-glm-4.7,mcp,simple_search_1,1485,184,1669,1473,8,4,54,0.021739130434782608,13.5,True,
cerebras/zai-glm-4.7,mcp,simple_translate_1,1487,121,1608,1473,10,8,53,0.06611570247933884,6.625,True,
cerebras/zai-glm-4.7,mcp,simple_empty_tool,1481,143,1624,1473,4,2,39,0.013986013986013986,19.5,True,
cerebras/zai-glm-4.7,mcp,multi_weather_cities,1495,237,1732,1473,18,7,94,0.029535864978902954,13.428571428571429,True,
cerebras/zai-glm-4.7,mcp,multi_search_chart,1490,422,1912,1473,13,6,59,0.014218009478672985,9.833333333333334,True,
cerebras/zai-glm-4.7,mcp,multi_task_email,1505,394,1899,1473,28,64,120,0.16243654822335024,1.875,True,
cerebras/zai-glm-4.7,mcp,multi_time_zones,1490,312,1802,1473,13,17,141,0.05448717948717949,8.294117647058824,True,
cerebras/zai-glm-4.7,mcp,multi_translate_compare,1486,247,1733,1473,9,8,108,0.032388663967611336,13.5,True,
cerebras/zai-glm-4.7,mcp,ambig_files,1482,288,1770,1473,5,0,0,0.0,,False,
cerebras/zai-glm-4.7,mcp,ambig_process,1480,308,1788,1473,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,mcp,ambig_send,1480,229,1709,1473,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,mcp,ambig_weather,1483,88,1571,1473,6,0,0,0.0,,False,
cerebras/zai-glm-4.7,mcp,ambig_translate,1479,111,1590,1473,2,0,0,0.0,,False,
cerebras/zai-glm-4.7,mcp,ambig_calculate,1480,171,1651,1473,3,0,0,0.0,,False,
cerebras/zai-glm-4.7,mcp,ambig_partial_email,1484,167,1651,1473,7,0,0,0.0,,False,
cerebras/zai-glm-4.7,mcp,ambig_search,1479,271,1750,1473,2,0,0,0.0,,False,
cerebras/zai-glm-4.7,mcp,complex_chart_filter,1511,207,1718,1473,34,14,53,0.06763285024154589,3.7857142857142856,True,
cerebras/zai-glm-4.7,mcp,complex_batch,1507,438,1945,1473,30,0,0,0.0,,False,
cerebras/zai-glm-4.7,mcp,complex_report,1516,1259,2775,1473,39,149,327,0.11834789515488484,2.1946308724832213,True,
cerebras/zai-glm-4.7,mcp,complex_pipeline,1524,494,2018,1473,47,27,199,0.05465587044534413,7.37037037037037,True,
cerebras/zai-glm-4.7,mcp,complex_query_report,1511,321,1832,1473,34,14,67,0.04361370716510903,4.785714285714286,True,
cerebras/zai-glm-4.7,mcp,complex_weird_params,1503,265,1768,1473,26,7,60,0.026415094339622643,8.571428571428571,True,
cerebras/zai-glm-4.7,mcp,complex_unicode,1498,203,1701,1473,23,5,57,0.024630541871921183,11.4,True,
cerebras/zai-glm-4.7,mcp,complex_mixed_types,1522,326,1848,1473,45,14,87,0.04294478527607362,6.214285714285714,True,
cerebras/zai-glm-4.7,mcp,complex_nested,1508,257,1765,1473,31,4,78,0.01556420233463035,19.5,True,
cerebras/zai-glm-4.7,xml,simple_weather_1,1470,128,1598,1466,7,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,simple_weather_2,1476,147,1623,1466,13,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,simple_time_1,1470,67,1537,1466,7,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,simple_time_2,1470,81,1551,1466,7,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,simple_calc_1,1469,72,1541,1466,6,0,0,0.0,,False,
cerebras/zai-glm-4.7,xml,simple_search_1,1471,116,1587,1466,8,0,0,0.0,,False,
